FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population,Total Hospitals (2019),deaths
41003,3.0,126.6,1.340621751,130
41005,1.0,201.0,6.05638587,195
41017,3.0,52.3,2.794692932,0
41019,4.0,21.4,1.6052788630000001,0
41029,3.0,73.0,3.195972619,0
41033,3.0,50.4,1.272092124,26
41035,5.0,11.2,0.9847567709999999,0
41039,2.0,77.2,5.525616047000001,64
41043,3.0,50.9,1.8534877,200
41047,2.0,266.7,5.0490090830000005,476
41051,1.0,1704.9,11.81772171,1019
41053,2.0,101.8,1.240665729,44
41059,4.0,23.6,1.128322555,6
41067,1.0,731.4,8.700045792000001,328
41071,1.0,138.6,1.557520641,212
45003,2.0,149.5,2.299051342,135
45007,2.0,261.6,2.7208718430000003,204
45013,3.0,281.5,2.561174219,276
45015,2.0,161.8,3.0005700089999996,183
45019,2.0,382.3,5.508801216,156
45031,3.0,122.4,0.9066134659999999,23
45035,2.0,238.2,2.180245104,50
45041,3.0,171.1,1.875045804,361
45045,2.0,574.7,6.97871965,614
45047,4.0,153.2,0.9600722009999999,0
45051,2.0,237.5,4.670643161,408
45055,2.0,84.9,0.890191767,270
45057,1.0,139.6,1.294464123,75
45059,2.0,93.2,0.909219223,35
45063,2.0,375.4,4.004071495,365
45073,4.0,118.6,1.063664617,0
45075,4.0,83.6,1.1798379540000001,20
45077,2.0,240.2,1.695601428,8
45079,2.0,507.9,5.626481006000001,700
45083,2.0,351.9,4.259978557,217
45085,3.0,161.6,1.4455437480000002,245
45091,1.0,332.2,3.720233975,104
47001,2.0,222.8,1.299175334,30
47009,2.0,220.2,2.231183558,93
47011,3.0,301.0,1.812937499,24
47037,1.0,1243.3,11.76475441,714
47059,4.0,110.6,1.173558828,60
47065,2.0,620.3,6.188010062,413
47093,2.0,850.5,7.9037158,139
47113,3.0,176.4,1.657984996,18
47119,1.0,132.0,1.6025234819999998,0
47125,2.0,319.6,3.498406945,65
47141,4.0,180.3,1.339280887,88
47147,1.0,139.2,1.2062581890000001,0
47149,1.0,424.0,5.518802779,262
47155,4.0,151.7,1.662860173,22
47157,1.0,1215.5,15.89552453,1252
47163,2.0,379.4,2.678256014,35
47165,1.0,303.4,3.1790403560000002,1011
47179,3.0,376.7,2.184606079,8
47187,1.0,314.4,3.9363065930000003,213
47189,1.0,199.7,2.388752011,74
48005,5.0,108.8,1.5869751930000002,0
48021,1.0,83.5,1.584861461,49
48027,2.0,295.2,6.480446327,104
48029,1.0,1383.1,36.18943754,1271
48037,3.0,104.6,1.7187554319999998,46
48039,1.0,230.7,6.745719657,122
48041,3.0,332.8,4.1319446189999995,475
48061,2.0,456.0,7.72437744,303
