FIPS,inter_movement,in_movement,out_movement
39021,54709.875269137396,13447.047076333483,27756.069235371364
39023,230283.96120163574,46037.85078164095,66024.82807734996
39025,337860.35407347884,89329.00192436912,144077.85771957118
39027,62695.75969811245,25238.981340622267,27442.326503539713
39029,165656.6459553559,33381.59971738275,65247.29570644094
39031,55352.27818814309,9593.720698638306,20580.030137211892
39033,60986.59134051199,15566.256789097188,24419.23000402519
39035,2328997.6641133237,437932.79293199565,319238.29769321706
39037,80720.1561927951,14373.523271816488,31216.938931228575
39039,59642.10862409206,20447.39388560117,20449.207268758884
39041,309881.0986355162,145375.30463541104,141786.46870470463
39043,124452.17818586613,47898.15472746016,34455.62208717117
39045,244527.97861314478,70610.31902542157,102611.8044303458
39047,46356.4833661238,20629.253112714567,16131.361051997626
39049,2368963.7477381187,515832.68902482203,350138.0033106221
39051,61359.24336846543,19154.742719737387,31251.186311914335
39053,52083.75957507534,15317.306185077716,17556.27502892732
39055,130168.91065354865,54098.029393071876,74712.57882083005
39057,268578.6586218115,121829.47490523088,99586.48880219196
39059,62704.81202239142,21508.526884226936,21914.6543244257
39061,1539956.1096963186,420221.0951484683,290133.5347788084
39063,134337.77589946712,44503.228749017646,31973.857176284288
39065,43306.66020090042,13265.933280223602,19220.810154643226
39067,18540.868620488283,6497.970201895099,13151.963631511375
39069,40872.523645244844,13211.618978257024,19617.83938607525
39071,65447.21638238158,15699.95424432152,26347.621010063183
39073,39521.23156197877,13722.821770774957,20490.40713223797
39075,65217.109872775916,21479.276729409237,30151.719570072255
39077,84850.34375678739,23937.11802053068,36032.32742666655
39079,55353.991697312056,13877.77016824298,17213.564486278858
39081,105405.63469587629,23911.950106514065,34931.47120167659
39083,94790.10175770866,20222.85281571605,30909.941815127764
39085,413014.85093796597,86234.95079780677,104943.29216329743
39087,96508.65554765682,22808.46139853253,47039.720156976626
39089,282899.6035307451,79055.04391932218,102538.15058670414
39091,70242.65144839772,23243.776590702237,24418.58181060931
39093,504034.7953293249,88392.71614997524,146098.53792528049
39095,808351.6849612336,174446.10711999502,137469.3698005432
39097,57191.54928725758,27138.992720979808,36011.759296604854
39099,419191.7678723191,101232.08978938102,91732.5858741484
39101,97055.97851648637,23814.66313198159,22685.262358739066
39103,287534.77524008445,88877.86392482347,122329.73716858108
39105,31606.593064870533,7242.000706108937,18704.49711806461
39107,64485.548170671995,15475.773445331739,19738.79800013822
39109,167357.5169703217,44600.45724896913,60565.33120799837
39111,17033.82123591834,4834.201122533266,10660.743220627895
39113,953622.8784015868,233876.87794752794,212418.62158323888
39115,17670.741772556317,3074.0135843665316,10121.63240071336
39117,41490.983927080655,14261.581999866668,30090.410677939035
39119,156377.9855280833,38807.86076487578,33487.06884982393
39121,18752.43382274481,4473.837890475373,11754.960953361535
39123,57279.709820047654,15308.202378359254,31251.2070975048
39125,23745.69252863836,5281.905901283753,15293.005433930297
39127,45860.35587134003,9799.504606475615,30752.84205651042
39129,76594.49076786093,26977.715724551137,46211.98791441023
39131,45038.512345891744,12955.629656935223,18561.633027821466
39133,242220.95113193314,87193.14961108973,110493.33708862176
39135,59467.742215331076,16994.02799716139,33661.15894164151
39137,48591.37494796544,9479.543391853176,22297.854396749288
39139,203287.38110030652,50388.145282500926,44988.026135764434
39141,137639.72482911294,33803.43426423415,31687.871322594765
39143,93207.89309575097,32748.489738541648,34623.329744516224
39145,142853.89095872705,25611.812355564256,32343.34036360568
39147,87725.33261515971,24028.862595939107,34344.0568409686
39149,77337.85260115357,23903.986652897758,26063.27596936151
39151,700124.7948128384,127950.03632281406,132349.01716932486
39153,956347.8958212466,268131.9194959692,230880.62148074812
39155,341213.73465705954,68199.31274626513,93479.4940409379
39157,166680.57325965128,35719.18926478559,42984.14094089655
39159,76495.3666777981,40234.96290765728,39971.924871034294
39161,44842.85124960355,12541.978767335411,17916.138127809663
39163,15810.048712005771,3219.0199937227103,10695.674847851487
39165,351720.0164494254,155244.42052946458,183453.12633343737
39167,99031.33652448046,27763.08110386348,33464.224406743815
39169,183318.36630930656,46042.35119725206,64014.1415319149
39171,57115.72506728866,16849.984419437667,19632.319929915724
39173,210760.4382599609,122177.14908639783,83323.63972837942
39175,33147.04407526859,12739.2347788678,15133.508080115778
40001,28668.692031494214,5367.63592327298,16215.4962788123
40003,6635.952987713609,2627.447650398742,4877.238621304896
40005,21776.875625137905,8736.671112320628,10862.882538461887
40007,6046.837303152781,2120.2558225079697,4380.903973605543
40009,44807.79136997587,17384.428528456418,12248.40514126827
40011,13292.872897035837,6926.01036766165,7705.568811953183
40013,80526.5719897028,29694.33138065075,23429.37367815547
40015,38974.95554721524,10834.654628121478,23245.491800274973
40017,224099.2232860774,76744.45937237257,110897.13462568098
40019,97834.9427028701,29517.539690469366,19732.03427119755
40021,85085.72303668929,18350.203715379936,28825.024382957206
40023,24401.572203511983,7983.747387376064,9405.135125842588
40025,2529.49578017138,948.2665450820265,1170.3693772343925
40027,515003.5625365071,148178.96674555336,177680.81968517398
40029,7042.758351205033,2455.4433782930105,5686.5468151956475
40031,242443.73546973497,38705.92725079819,32740.099231832377
40033,7176.567052421575,5328.050643326754,5582.003120868574
40035,22422.140001726304,12034.100960859254,10891.678771419427
40037,103578.44729135126,34162.890074292176,68632.9026897647
40039,54510.89078598596,21800.63714420996,16203.69921563558
40041,61182.46684454387,19785.666009358967,29281.878214001023
40043,5075.020502740014,3529.9302428099136,4475.611763636645
40045,4304.432421932311,2433.487225147681,3512.7819898776092
40047,130719.6208903895,22304.79618429513,20633.55058405531
40049,46077.15952625573,17929.88262914791,20933.8611681477
40051,84622.20459656506,28494.153339932946,50781.96721203097
40053,4523.547049884301,1824.5576284023084,4415.9142818006
40055,8522.945368152888,1750.5100439158439,4946.229914602445
40057,2889.111218669081,608.4726111341922,2092.6964027687354
40059,3564.557987712215,1332.124154455854,2811.5049855457046
40061,21221.524201613825,4838.329338018663,10062.661185032097
40063,19433.359929168586,5516.111064426446,10357.08802676466
40065,46590.645947350306,11792.4441530108,10131.738927542294
40067,7204.235766913329,2840.2826612434133,5463.235076922626
40069,14476.670804341895,4728.344928249629,10429.19379166949
40071,83929.83173889175,22199.562668895258,17554.18016977279
40073,22914.66320115203,12221.995978751405,12673.7748590746
40075,11596.287976540478,2868.6007377135234,7312.709735948466
40077,13928.226744861831,5054.401459792086,9264.94759436988
40079,84068.04544242824,18329.474018883717,34363.29773323484
40081,45115.03599171846,17567.778185839335,35365.52226170522
40083,60912.871102072255,17273.528253895995,52480.32060942308
40085,12921.70740833723,19065.278154307645,9528.242570851804
40087,51355.91179869196,38951.11433554946,42444.79616533131
40089,59904.72265990214,11891.101850249795,12852.504359287826
40091,29765.388881100913,13265.262766489906,15593.125345173092
40093,10152.171759414427,5388.669064165644,6829.259076204182
40095,24325.613801484833,7556.235076329491,11695.2462269121
40097,66324.72205297535,19626.923808486114,26068.33344373759
40099,24259.5411693905,9433.997464328368,10022.831351807956
40101,128602.73045365361,42066.08928551396,33374.75537486073
40103,15324.989279657535,7351.852769805932,10521.499001072947
40105,13503.315446022776,4057.6301337682517,9755.78821590063
40107,15617.57395091606,5430.886828621215,12067.504942492791
40109,1605696.1285693252,426088.30633953854,234061.67226068323
40111,63329.00183734304,15610.78303740233,27703.62037369499
40113,58700.277387220056,23714.56439816686,51259.28669356467
40115,51560.85598364678,19736.374054165954,19251.498299311006
40117,22094.197249775465,7815.915772019571,14611.312524767902
40119,164357.2697009076,53343.32183714897,32379.842618799543
40121,83279.51513475364,21339.619514690323,18512.094425604966
40123,78015.55194614812,22761.082297488032,16400.535652152015
40125,129917.25578497608,43732.20104827773,43253.182571874946
40127,14529.807474990614,4774.652959277483,8464.519037480382
40129,3931.043643639422,1717.2933742605624,3512.0883780083636
40131,131973.82006927027,48553.86677929973,85217.06399403585
40133,41271.345046122835,13816.21226787933,18926.9710858815
40135,67159.1797942799,15395.293217195851,30382.46068639324
